CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0092,0.9963951380313899
C0001,C0191,0.983715159090158
C0001,C0069,0.9765862708346538
C0002,C0157,0.9964284571019651
C0002,C0172,0.9907061870512076
C0002,C0029,0.9873932031475291
C0003,C0049,0.9587073842887065
C0003,C0176,0.9350555608015169
C0003,C0160,0.918427974548808
C0004,C0162,0.9899956494527637
C0004,C0165,0.9849321833581206
C0004,C0068,0.9817659217019785
C0005,C0123,0.9898960925275305
C0005,C0009,0.9690944324463102
C0005,C0140,0.9677229561031403
C0006,C0187,0.9906995319611203
C0006,C0168,0.983674842729194
C0006,C0139,0.9546670996651228
C0007,C0074,0.9712348282343459
C0007,C0127,0.9684648405967672
C0007,C0125,0.9635218629634461
C0008,C0084,0.9965938623380073
C0008,C0195,0.9851482583959711
C0008,C0017,0.9770185020589919
C0009,C0140,0.9916747052097723
C0009,C0167,0.9844467248226962
C0009,C0005,0.9690944324463102
C0010,C0072,0.9681410818495833
C0010,C0094,0.9627233228498768
C0010,C0151,0.9527011453966701
C0011,C0064,0.9646543898038951
C0011,C0056,0.9348729568582476
C0011,C0137,0.9314898305233369
C0012,C0101,0.9985215326795714
C0012,C0068,0.9829609551774829
C0012,C0143,0.9816896306597821
C0013,C0141,0.9977121994549097
C0013,C0082,0.9950343856148599
C0013,C0067,0.9943737842494099
C0014,C0097,0.9812422950794719
C0014,C0062,0.9812311943624765
C0014,C0112,0.9803087221662578
C0015,C0103,0.9867655324114045
C0015,C0186,0.9687652655387263
C0015,C0135,0.9496747480039244
C0016,C0107,0.9989000828058867
C0016,C0044,0.9622008478672159
C0016,C0050,0.9615840342690645
C0017,C0113,0.9978289491581486
C0017,C0165,0.9851845066152437
C0017,C0084,0.9839814933593397
C0018,C0105,0.9684197245872522
C0018,C0090,0.953998022715289
C0018,C0149,0.9436523132485001
C0019,C0031,0.988097256733451
C0019,C0002,0.974545539142372
C0019,C0166,0.9706504281531438
C0020,C0080,0.9898361304302721
C0020,C0110,0.9697215351916453
C0020,C0120,0.9691671944387018
